ten_lo,ma_loai_nong_san,ma_vung_trong,san_luong_du_kien,san_luong_thuc_thu,ngay_gieo_trong,ngay_thu_hoach,hoat_dong_canh_tac,vat_tu,so_luong,don_vi,ngay_thuc_hien,ghi_chu
Lô Rau Muống Vụ 1 2026 - Dòng 11,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,610,488,12/12/2026,12/06/2026,WEEDING,Phân NPK 16-16-8,21,lít,12/12/2026,Ghi chú dòng 11
Lô Cà Phê Vụ 1 2026 - Dòng 12,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,620,496,13/01/2026,13/07/2026,HARVESTING,,0,lan,13/01/2026,
Lô Xoài Vụ 1 2026 - Dòng 13,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,630,504,14/02/2026,14/08/2026,OTHER,Phân Kali,23,lan,14/02/2026,Ghi chú dòng 13
Lô Thanh Long Vụ 1 2026 - Dòng 14,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,640,512,15/03/2026,15/09/2026,PLANTING,Phân hữu cơ vi sinh,24,trụ,15/03/2026,Ghi chú dòng 14
Lô Bưởi Vụ 1 2026 - Dòng 15,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,650,,16/04/2026,16/10/2026,FERTILIZING,,0,lan,16/04/2026,
Lô Sầu Riêng Vụ 1 2026 - Dòng 16,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,660,528,17/05/2026,17/11/2026,WATERING,Cây giống cà phê,26,lít,17/05/2026,Ghi chú dòng 16
Lô Mít Vụ 1 2026 - Dòng 17,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,670,536,18/06/2026,18/12/2026,PESTICIDE,Cây xoài Tứ Quý,27,cây,18/06/2026,Ghi chú dòng 17
Lô Chôm Chôm Vụ 1 2026 - Dòng 18,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,680,544,19/07/2026,19/01/2026,WEEDING,,0,lan,19/07/2026,
Lô Nhãn Vụ 1 2026 - Dòng 19,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,690,552,20/08/2026,20/02/2026,HARVESTING,Cây giống bưởi,29,trụ,20/08/2026,Ghi chú dòng 19
Lô Lúa Vụ 2 2026 - Dòng 20,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,700,,21/09/2026,21/03/2026,OTHER,Giống lúa OM5451,30,kg,21/09/2026,Ghi chú dòng 20
Lô Rau Muống Vụ 2 2026 - Dòng 21,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,710,568,22/10/2026,22/04/2026,PLANTING,,0,lan,22/10/2026,
Lô Cà Phê Vụ 2 2026 - Dòng 22,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,720,576,23/11/2026,23/05/2026,FERTILIZING,Thuốc trừ sâu sinh học,32,cây,23/11/2026,Ghi chú dòng 22
Lô Xoài Vụ 2 2026 - Dòng 23,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,730,584,24/12/2026,24/06/2026,WATERING,Phân Kali,33,lan,24/12/2026,Ghi chú dòng 23
Lô Thanh Long Vụ 2 2026 - Dòng 24,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,740,592,25/01/2026,25/07/2026,PESTICIDE,,0,lan,25/01/2026,
Lô Bưởi Vụ 2 2026 - Dòng 25,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,750,,26/02/2026,26/08/2026,WEEDING,Hạt giống rau muống,35,kg,26/02/2026,Ghi chú dòng 25
Lô Sầu Riêng Vụ 2 2026 - Dòng 26,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,760,608,27/03/2026,27/09/2026,HARVESTING,Cây giống cà phê,36,lít,27/03/2026,Ghi chú dòng 26
Lô Mít Vụ 2 2026 - Dòng 27,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,770,616,28/04/2026,28/10/2026,OTHER,,0,lan,28/04/2026,
Lô Chôm Chôm Vụ 2 2026 - Dòng 28,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,780,624,01/05/2026,01/11/2026,PLANTING,Trụ thanh long,38,lan,01/05/2026,Ghi chú dòng 28
Lô Nhãn Vụ 2 2026 - Dòng 29,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,790,632,02/06/2026,02/12/2026,FERTILIZING,Cây giống bưởi,39,trụ,02/06/2026,Ghi chú dòng 29
Lô Lúa Vụ 2 2026 - Dòng 30,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,800,,03/07/2026,03/01/2026,WATERING,,0,lan,03/07/2026,
Lô Rau Muống Vụ 2 2026 - Dòng 31,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,810,648,04/08/2026,04/02/2026,PESTICIDE,Phân NPK 16-16-8,41,lít,04/08/2026,Ghi chú dòng 31
Lô Cà Phê Vụ 2 2026 - Dòng 32,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,820,656,05/09/2026,05/03/2026,WEEDING,Thuốc trừ sâu sinh học,42,cây,05/09/2026,Ghi chú dòng 32
Lô Xoài Vụ 2 2026 - Dòng 33,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,830,664,06/10/2026,06/04/2026,HARVESTING,,0,lan,06/10/2026,
Lô Thanh Long Vụ 2 2026 - Dòng 34,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,840,672,07/11/2026,07/05/2026,OTHER,Phân hữu cơ vi sinh,44,trụ,07/11/2026,Ghi chú dòng 34
Lô Bưởi Vụ 2 2026 - Dòng 35,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,850,,08/12/2026,08/06/2026,PLANTING,Hạt giống rau muống,45,kg,08/12/2026,Ghi chú dòng 35
Lô Sầu Riêng Vụ 2 2026 - Dòng 36,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,860,688,09/01/2026,09/07/2026,FERTILIZING,,0,lan,09/01/2026,
Lô Mít Vụ 2 2026 - Dòng 37,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,870,696,10/02/2026,10/08/2026,WATERING,Cây xoài Tứ Quý,47,cây,10/02/2026,Ghi chú dòng 37
Lô Chôm Chôm Vụ 2 2026 - Dòng 38,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,880,704,11/03/2026,11/09/2026,PESTICIDE,Trụ thanh long,48,lan,11/03/2026,Ghi chú dòng 38
Lô Nhãn Vụ 2 2026 - Dòng 39,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,890,712,12/04/2026,12/10/2026,WEEDING,,0,lan,12/04/2026,
Lô Lúa Vụ 3 2026 - Dòng 40,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,900,,13/05/2026,13/11/2026,HARVESTING,Giống lúa OM5451,50,kg,13/05/2026,Ghi chú dòng 40
Lô Rau Muống Vụ 3 2026 - Dòng 41,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,910,728,14/06/2026,14/12/2026,OTHER,Phân NPK 16-16-8,51,lít,14/06/2026,Ghi chú dòng 41
Lô Cà Phê Vụ 3 2026 - Dòng 42,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,920,736,15/07/2026,15/01/2026,PLANTING,,0,lan,15/07/2026,
Lô Xoài Vụ 3 2026 - Dòng 43,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,930,744,16/08/2026,16/02/2026,FERTILIZING,Phân Kali,53,lan,16/08/2026,Ghi chú dòng 43
Lô Thanh Long Vụ 3 2026 - Dòng 44,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,940,752,17/09/2026,17/03/2026,WATERING,Phân hữu cơ vi sinh,54,trụ,17/09/2026,Ghi chú dòng 44
Lô Bưởi Vụ 3 2026 - Dòng 45,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,950,,18/10/2026,18/04/2026,PESTICIDE,,0,lan,18/10/2026,
Lô Sầu Riêng Vụ 3 2026 - Dòng 46,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,960,768,19/11/2026,19/05/2026,WEEDING,Cây giống cà phê,56,lít,19/11/2026,Ghi chú dòng 46
Lô Mít Vụ 3 2026 - Dòng 47,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,970,776,20/12/2026,20/06/2026,HARVESTING,Cây xoài Tứ Quý,57,cây,20/12/2026,Ghi chú dòng 47
Lô Chôm Chôm Vụ 3 2026 - Dòng 48,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,980,784,21/01/2026,21/07/2026,OTHER,,0,lan,21/01/2026,
Lô Nhãn Vụ 3 2026 - Dòng 49,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,990,792,22/02/2026,22/08/2026,PLANTING,Cây giống bưởi,59,trụ,22/02/2026,Ghi chú dòng 49
Lô Lúa Vụ 3 2026 - Dòng 50,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1000,,23/03/2026,23/09/2026,FERTILIZING,Giống lúa OM5451,10,kg,23/03/2026,Ghi chú dòng 50
Lô Rau Muống Vụ 3 2026 - Dòng 51,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1010,808,24/04/2026,24/10/2026,WATERING,,0,lan,24/04/2026,
Lô Cà Phê Vụ 3 2026 - Dòng 52,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1020,816,25/05/2026,25/11/2026,PESTICIDE,Thuốc trừ sâu sinh học,12,cây,25/05/2026,Ghi chú dòng 52
Lô Xoài Vụ 3 2026 - Dòng 53,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1030,824,26/06/2026,26/12/2026,WEEDING,Phân Kali,13,lan,26/06/2026,Ghi chú dòng 53
Lô Thanh Long Vụ 3 2026 - Dòng 54,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1040,832,27/07/2026,27/01/2026,HARVESTING,,0,lan,27/07/2026,
Lô Bưởi Vụ 3 2026 - Dòng 55,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1050,,28/08/2026,28/02/2026,OTHER,Hạt giống rau muống,15,kg,28/08/2026,Ghi chú dòng 55
Lô Sầu Riêng Vụ 3 2026 - Dòng 56,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1060,848,01/09/2026,01/03/2026,PLANTING,Cây giống cà phê,16,lít,01/09/2026,Ghi chú dòng 56
Lô Mít Vụ 3 2026 - Dòng 57,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1070,856,02/10/2026,02/04/2026,FERTILIZING,,0,lan,02/10/2026,
Lô Chôm Chôm Vụ 3 2026 - Dòng 58,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1080,864,03/11/2026,03/05/2026,WATERING,Trụ thanh long,18,lan,03/11/2026,Ghi chú dòng 58
Lô Nhãn Vụ 3 2026 - Dòng 59,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1090,872,04/12/2026,04/06/2026,PESTICIDE,Cây giống bưởi,19,trụ,04/12/2026,Ghi chú dòng 59
Lô Lúa Vụ 4 2026 - Dòng 60,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1100,,05/01/2026,05/07/2026,WEEDING,,0,lan,05/01/2026,
Lô Rau Muống Vụ 4 2026 - Dòng 61,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1110,888,06/02/2026,06/08/2026,HARVESTING,Phân NPK 16-16-8,21,lít,06/02/2026,Ghi chú dòng 61
Lô Cà Phê Vụ 4 2026 - Dòng 62,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1120,896,07/03/2026,07/09/2026,OTHER,Thuốc trừ sâu sinh học,22,cây,07/03/2026,Ghi chú dòng 62
Lô Xoài Vụ 4 2026 - Dòng 63,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1130,904,08/04/2026,08/10/2026,PLANTING,,0,lan,08/04/2026,
Lô Thanh Long Vụ 4 2026 - Dòng 64,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1140,912,09/05/2026,09/11/2026,FERTILIZING,Phân hữu cơ vi sinh,24,trụ,09/05/2026,Ghi chú dòng 64
Lô Bưởi Vụ 4 2026 - Dòng 65,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1150,,10/06/2026,10/12/2026,WATERING,Hạt giống rau muống,25,kg,10/06/2026,Ghi chú dòng 65
Lô Sầu Riêng Vụ 4 2026 - Dòng 66,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1160,928,11/07/2026,11/01/2026,PESTICIDE,,0,lan,11/07/2026,
Lô Mít Vụ 4 2026 - Dòng 67,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1170,936,12/08/2026,12/02/2026,WEEDING,Cây xoài Tứ Quý,27,cây,12/08/2026,Ghi chú dòng 67
Lô Chôm Chôm Vụ 4 2026 - Dòng 68,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1180,944,13/09/2026,13/03/2026,HARVESTING,Trụ thanh long,28,lan,13/09/2026,Ghi chú dòng 68
Lô Nhãn Vụ 4 2026 - Dòng 69,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1190,952,14/10/2026,14/04/2026,OTHER,,0,lan,14/10/2026,
Lô Lúa Vụ 4 2026 - Dòng 70,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1200,,15/11/2026,15/05/2026,PLANTING,Giống lúa OM5451,30,kg,15/11/2026,Ghi chú dòng 70
Lô Rau Muống Vụ 4 2026 - Dòng 71,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1210,968,16/12/2026,16/06/2026,FERTILIZING,Phân NPK 16-16-8,31,lít,16/12/2026,Ghi chú dòng 71
Lô Cà Phê Vụ 4 2026 - Dòng 72,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1220,976,17/01/2026,17/07/2026,WATERING,,0,lan,17/01/2026,
Lô Xoài Vụ 4 2026 - Dòng 73,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1230,984,18/02/2026,18/08/2026,PESTICIDE,Phân Kali,33,lan,18/02/2026,Ghi chú dòng 73
Lô Thanh Long Vụ 4 2026 - Dòng 74,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1240,992,19/03/2026,19/09/2026,WEEDING,Phân hữu cơ vi sinh,34,trụ,19/03/2026,Ghi chú dòng 74
Lô Bưởi Vụ 4 2026 - Dòng 75,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1250,,20/04/2026,20/10/2026,HARVESTING,,0,lan,20/04/2026,
Lô Sầu Riêng Vụ 4 2026 - Dòng 76,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1260,1008,21/05/2026,21/11/2026,OTHER,Cây giống cà phê,36,lít,21/05/2026,Ghi chú dòng 76
Lô Mít Vụ 4 2026 - Dòng 77,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1270,1016,22/06/2026,22/12/2026,PLANTING,Cây xoài Tứ Quý,37,cây,22/06/2026,Ghi chú dòng 77
Lô Chôm Chôm Vụ 4 2026 - Dòng 78,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1280,1024,23/07/2026,23/01/2026,FERTILIZING,,0,lan,23/07/2026,
Lô Nhãn Vụ 4 2026 - Dòng 79,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1290,1032,24/08/2026,24/02/2026,WATERING,Cây giống bưởi,39,trụ,24/08/2026,Ghi chú dòng 79
Lô Lúa Vụ 5 2026 - Dòng 80,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1300,,25/09/2026,25/03/2026,PESTICIDE,Giống lúa OM5451,40,kg,25/09/2026,Ghi chú dòng 80
Lô Rau Muống Vụ 5 2026 - Dòng 81,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1310,1048,26/10/2026,26/04/2026,WEEDING,,0,lan,26/10/2026,
Lô Cà Phê Vụ 5 2026 - Dòng 82,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1320,1056,27/11/2026,27/05/2026,HARVESTING,Thuốc trừ sâu sinh học,42,cây,27/11/2026,Ghi chú dòng 82
Lô Xoài Vụ 5 2026 - Dòng 83,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1330,1064,28/12/2026,28/06/2026,OTHER,Phân Kali,43,lan,28/12/2026,Ghi chú dòng 83
Lô Thanh Long Vụ 5 2026 - Dòng 84,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1340,1072,01/01/2026,01/07/2026,PLANTING,,0,lan,01/01/2026,
Lô Bưởi Vụ 5 2026 - Dòng 85,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1350,,02/02/2026,02/08/2026,FERTILIZING,Hạt giống rau muống,45,kg,02/02/2026,Ghi chú dòng 85
Lô Sầu Riêng Vụ 5 2026 - Dòng 86,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1360,1088,03/03/2026,03/09/2026,WATERING,Cây giống cà phê,46,lít,03/03/2026,Ghi chú dòng 86
Lô Mít Vụ 5 2026 - Dòng 87,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1370,1096,04/04/2026,04/10/2026,PESTICIDE,,0,lan,04/04/2026,
Lô Chôm Chôm Vụ 5 2026 - Dòng 88,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1380,1104,05/05/2026,05/11/2026,WEEDING,Trụ thanh long,48,lan,05/05/2026,Ghi chú dòng 88
Lô Nhãn Vụ 5 2026 - Dòng 89,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1390,1112,06/06/2026,06/12/2026,HARVESTING,Cây giống bưởi,49,trụ,06/06/2026,Ghi chú dòng 89
Lô Lúa Vụ 5 2026 - Dòng 90,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1400,,07/07/2026,07/01/2026,OTHER,,0,lan,07/07/2026,
Lô Rau Muống Vụ 5 2026 - Dòng 91,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1410,1128,08/08/2026,08/02/2026,PLANTING,Phân NPK 16-16-8,51,lít,08/08/2026,Ghi chú dòng 91
Lô Cà Phê Vụ 5 2026 - Dòng 92,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1420,1136,09/09/2026,09/03/2026,FERTILIZING,Thuốc trừ sâu sinh học,52,cây,09/09/2026,Ghi chú dòng 92
Lô Xoài Vụ 5 2026 - Dòng 93,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1430,1144,10/10/2026,10/04/2026,WATERING,,0,lan,10/10/2026,
Lô Thanh Long Vụ 5 2026 - Dòng 94,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1440,1152,11/11/2026,11/05/2026,PESTICIDE,Phân hữu cơ vi sinh,54,trụ,11/11/2026,Ghi chú dòng 94
Lô Bưởi Vụ 5 2026 - Dòng 95,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1450,,12/12/2026,12/06/2026,WEEDING,Hạt giống rau muống,55,kg,12/12/2026,Ghi chú dòng 95
Lô Sầu Riêng Vụ 5 2026 - Dòng 96,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1460,1168,13/01/2026,13/07/2026,HARVESTING,,0,lan,13/01/2026,
Lô Mít Vụ 5 2026 - Dòng 97,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1470,1176,14/02/2026,14/08/2026,OTHER,Cây xoài Tứ Quý,57,cây,14/02/2026,Ghi chú dòng 97
Lô Chôm Chôm Vụ 5 2026 - Dòng 98,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1480,1184,15/03/2026,15/09/2026,PLANTING,Trụ thanh long,58,lan,15/03/2026,Ghi chú dòng 98
Lô Nhãn Vụ 5 2026 - Dòng 99,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1490,1192,16/04/2026,16/10/2026,FERTILIZING,,0,lan,16/04/2026,
Lô Lúa Vụ 6 2026 - Dòng 100,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,1500,,17/05/2026,17/11/2026,WATERING,Giống lúa OM5451,10,kg,17/05/2026,Ghi chú dòng 100
Lô Rau Muống Vụ 6 2026 - Dòng 101,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,1510,1208,18/06/2026,18/12/2026,PESTICIDE,Phân NPK 16-16-8,11,lít,18/06/2026,Ghi chú dòng 101
Lô Cà Phê Vụ 6 2026 - Dòng 102,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,1520,1216,19/07/2026,19/01/2026,WEEDING,,0,lan,19/07/2026,
Lô Xoài Vụ 6 2026 - Dòng 103,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,1530,1224,20/08/2026,20/02/2026,HARVESTING,Phân Kali,13,lan,20/08/2026,Ghi chú dòng 103
Lô Thanh Long Vụ 6 2026 - Dòng 104,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,1540,1232,21/09/2026,21/03/2026,OTHER,Phân hữu cơ vi sinh,14,trụ,21/09/2026,Ghi chú dòng 104
